Producing: JOB Id = 49, Burst Time = 94, Remaining Time = 94, Priority = 9 (Jobs Produced = 50, Jobs in buffer = 8)
Producing: JOB Id = 50, Burst Time = 64, Remaining Time = 64, Priority = 0 (Jobs Produced = 51, Jobs in buffer = 9)
Producing: JOB Id = 51, Burst Time = 75, Remaining Time = 75, Priority = 8 (Jobs Produced = 52, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 50, Start time = 0, End time = 25, Priority = 0, Remaining Time = 39
Thread 0 removes: JOB ID: 50, restart time = 25, End time = 50, Priority = 0, Remaining Time = 14
Thread 0 removes: JOB ID: 50, restart time = 50, End time = 64, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 47, Start time = 64, End time = 129, Priority = 2, Remaining Time = 0
Thread 0 removes: JOB ID: 48, Start time = 129, End time = 146, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 46, Start time = 146, End time = 171, Priority = 8, Remaining Time = 29
Thread 0 removes: JOB ID: 51, Start time = 171, End time = 196, Priority = 8, Remaining Time = 50
Thread 0 removes: JOB ID: 46, restart time = 196, End time = 221, Priority = 8, Remaining Time = 4
Thread 0 removes: JOB ID: 51, restart time = 221, End time = 246, Priority = 8, Remaining Time = 25
Thread 0 removes: JOB ID: 46, restart time = 246, End time = 250, Priority = 8, Remaining Time = 0
Thread 0 removes: JOB ID: 51, restart time = 250, End time = 275, Priority = 8, Remaining Time = 0
Thread 0 removes: JOB ID: 49, Start time = 275, End time = 369, Priority = 9, Remaining Time = 0
Producing: JOB Id = 52, Burst Time = 72, Remaining Time = 72, Priority = 1 (Jobs Produced = 53, Jobs in buffer = 4)
Producing: JOB Id = 53, Burst Time = 60, Remaining Time = 60, Priority = 2 (Jobs Produced = 54, Jobs in buffer = 5)
Producing: JOB Id = 54, Burst Time = 52, Remaining Time = 52, Priority = 2 (Jobs Produced = 55, Jobs in buffer = 6)
Producing: JOB Id = 55, Burst Time = 17, Remaining Time = 17, Priority = 6 (Jobs Produced = 56, Jobs in buffer = 7)
Producing: JOB Id = 56, Burst Time = 44, Remaining Time = 44, Priority = 0 (Jobs Produced = 57, Jobs in buffer = 8)
Producing: JOB Id = 57, Burst Time = 9, Remaining Time = 9, Priority = 1 (Jobs Produced = 58, Jobs in buffer = 9)
Producing: JOB Id = 58, Burst Time = 7, Remaining Time = 7, Priority = 9 (Jobs Produced = 59, Jobs in buffer = 10)
Thread 0 removes: JOB ID: 56, Start time = 0, End time = 25, Priority = 0, Remaining Time = 19
Thread 0 removes: JOB ID: 56, restart time = 25, End time = 44, Priority = 0, Remaining Time = 0
Thread 0 removes: JOB ID: 52, Start time = 44, End time = 69, Priority = 1, Remaining Time = 47
Thread 0 removes: JOB ID: 57, Start time = 69, End time = 78, Priority = 1, Remaining Time = 0
Thread 0 removes: JOB ID: 53, Start time = 78, End time = 103, Priority = 2, Remaining Time = 35
Thread 0 removes: JOB ID: 54, Start time = 103, End time = 128, Priority = 2, Remaining Time = 27
Thread 0 removes: JOB ID: 53, restart time = 128, End time = 153, Priority = 2, Remaining Time = 10
Thread 0 removes: JOB ID: 54, restart time = 153, End time = 178, Priority = 2, Remaining Time = 2
Thread 0 removes: JOB ID: 53, restart time = 178, End time = 188, Priority = 2, Remaining Time = 0
Thread 0 removes: JOB ID: 54, restart time = 188, End time = 190, Priority = 2, Remaining Time = 0
Thread 0 removes: JOB ID: 55, Start time = 190, End time = 207, Priority = 6, Remaining Time = 0
Thread 0 removes: JOB ID: 58, Start time = 207, End time = 214, Priority = 9, Remaining Time = 0
Producing: JOB Id = 59, Burst Time = 20, Remaining Time = 20, Priority = 9 (Jobs Produced = 60, Jobs in buffer = 1)
